name,position,position_raw,age,number,market_value,source
Jaime Vargas,ARQ,Jaime Vargas Goalkeeper,21,N/A,€250k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Álvaro Salazar,ARQ,Álvaro Salazar Goalkeeper,32,N/A,€100k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
José Narr,ARQ,José Narr Goalkeeper,22,N/A,€25k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Brayams Viveros,DEF,Brayams Viveros Centre-Back,34,N/A,€150k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Francisco Alarcón,DEF,Francisco Alarcón Centre-Back,36,N/A,€75k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Fabrizio Tomarelli,DEF,Fabrizio Tomarelli Centre-Back,24,N/A,€75k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Christian Cepeda,DEF,Christian Cepeda Centre-Back,35,N/A,€75k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Ignacio Lara,N/A,Ignacio Lara Left-Back,29,N/A,€325k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Felipe Saavedra,N/A,Felipe Saavedra Left-Back,29,N/A,€125k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Daniel Viveros,N/A,Daniel Viveros Right-Back,25,N/A,€225k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Camilo Rodríguez,MED,Camilo Rodríguez Right-Back,30,N/A,€225k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Federico Martin,DEF,Federico Martin Defensive Midfield,35,N/A,€100k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Javier Espinoza,DEF,Javier Espinoza Defensive Midfield,21,N/A,-,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Nicolás Carvajal,DEF,Nicolás Carvajal Central Midfield,28,N/A,€300k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Branco Provoste,DEF,Branco Provoste Central Midfield,25,N/A,€175k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Felipe Báez,DEF,Felipe Báez Central Midfield,35,N/A,€75k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Mikel Arguinarena,MED,Mikel Arguinarena Attacking Midfield,34,N/A,€150k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Gonzalo Álvarez,DEL,Gonzalo Álvarez Right Winger,29,N/A,€300k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Carlos González,DEL,Carlos González Right Winger,23,N/A,€25k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Pedro Sánchez,DEL,Pedro Sánchez Centre-Forward,28,N/A,€450k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Germán Estigarribia,MED,Germán Estigarribia Centre-Forward,28,N/A,€275k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Víctor Vásquez,DEL,Víctor Vásquez Centre-Forward,21,N/A,€25k,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
Ignacio Parada,DEL,Ignacio Parada Centre-Forward,23,N/A,-,https://www.transfermarkt.com/deportes-recoleta/kader/verein/61808/saison_id/2025
