"name","position","position_raw","age","number","market_value","source"
"Nicolás Aedo","MED","Nicolás Aedo Attacking Midfield","24","N/A","€100k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Rodrigo Cabral","DEL","Rodrigo Cabral Left Winger","25","N/A","€550k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Pedro Garrido","ARQ","Pedro Garrido Goalkeeper","22","N/A","€50k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Esteban Matus","DEF","Esteban Matus Left-Back","24","N/A","€900k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Tomás Ahumada","ARQ","Tomás Ahumada Goalkeeper","24","N/A","€1.20m","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Nicolás Orellana","MED","Nicolás Orellana Central Midfield","30","N/A","€450k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Cristóbal Muñoz","DEF","Cristóbal Muñoz Centre-Back","26","N/A","€350k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Martín Ballesteros","ARQ","Martín Ballesteros Goalkeeper","23","N/A","€100k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Daniel Piña","DEF","Daniel Piña Centre-Back","24","N/A","€250k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Enzo Ferrario","DEF","Enzo Ferrario Centre-Back","25","N/A","€800k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Marco Collao","MED","Marco Collao Central Midfield","27","N/A","€800k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Mario Sandoval","MED","Holding Midfield","18","N/A","€200k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Bryan Soto","MED","Holding Midfield","24","N/A","€300k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Federico Mateos","MED","Federico Mateos Central Midfield","32","N/A","€350k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Diego Coelho","DEL","Diego Coelho Centre-Forward","31","N/A","€700k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Favian Loyola","MED","Favian Loyola Attacking Midfield","20","N/A","€100k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Diego Monreal","DEF","Diego Monreal Centre-Back","23","N/A","€75k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Marcelo Ortiz","DEF","Marcelo Ortiz Centre-Back","32","N/A","€250k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Paolo Guajardo","DEL","Paolo Guajardo Right Winger","22","N/A","€500k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Raimundo Rebolledo","DEF","Raimundo Rebolledo Right-Back","28","N/A","€175k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Michael Vadulli","DEL","Michael Vadulli Left Winger","27","N/A","€750k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Oliver Rojas","DEF","Oliver Rojas Right-Back","25","N/A","€600k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Giovani Chiaverano","DEL","Giovani Chiaverano Right Winger","20","N/A","€200k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Franco Troyansky","DEL","Franco Troyansky Centre-Forward","28","N/A","€225k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
"Martín Jiménez","DEF","Martín Jiménez Right-Back","18","N/A","€100k","https://www.transfermarkt.com/audax-italiano/kader/verein/6363/saison_id/2025"
