"name","position","position_raw","age","number","market_value","source"
"Ignacio Pacheco","MED","Holding Midfield","21","N/A","€260k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Benjamín Valenzuela","MED","Benjamín Valenzuela Central Midfield","20","N/A","€150k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Julián Brea","DEL","Julián Brea Right Winger","26","N/A","€350k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Renato Huerta","DEL","Renato Huerta Right Winger","22","N/A","€300k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Aaron Astudillo","DEF","Aaron Astudillo Right-Back","25","N/A","€300k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Esteban Valencia","MED","Esteban Valencia Central Midfield","26","N/A","€400k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Franco Frías","DEL","Franco Frías Centre-Forward","23","N/A","€400k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Juan Fuentes","MED","Holding Midfield","30","N/A","€400k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Guillermo Pacheco","DEF","Guillermo Pacheco Right-Back","36","N/A","€100k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Bryan Carvallo","MED","Bryan Carvallo Attacking Midfield","29","N/A","€200k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Alejandro Santander","ARQ","Alejandro Santander Goalkeeper","23","N/A","€100k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Antonio Castillo","DEF","Antonio Castillo Left-Back","27","N/A","€250k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Aníbal Gajardo","DEF","Aníbal Gajardo Left-Back","21","N/A","€50k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"José Tiznado","DEF","José Tiznado Centre-Back","31","N/A","€400k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Rodrigo Sandoval","DEF","Rodrigo Sandoval Left-Back","25","N/A","€175k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Jorge Pinos","ARQ","Jorge Pinos Goalkeeper","36","N/A","€100k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"César Yanis","DEL","César Yanis Right Winger","30","N/A","€350k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Agustín Nadruz","MED","Holding Midfield","29","N/A","€500k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Sergio Carrasco","DEL","Sergio Carrasco Centre-Forward","21","N/A","€250k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Milan Roki","MED","Milan Roki Central Midfield","18","N/A","€25k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Christian Moreno","DEF","Christian Moreno Centre-Back","29","N/A","€250k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Franco Bechtholdt","DEF","Franco Bechtholdt Centre-Back","32","N/A","€200k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Carlos Navarrete","DEL","Carlos Navarrete Right Winger","21","N/A","€255k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Yair Guzmán","DEL","Yair Guzmán Right Winger","17","N/A","€270k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
"Steffan Pino","DEL","Steffan Pino Centre-Forward","31","N/A","€450k","https://www.transfermarkt.com/cd-cobresal/kader/verein/17482/saison_id/2025"
